,previousIdentification,scientificName,observation
362,Tetrao urogalus,Tetrao urogallus,Updated according to IOC World Bird List
363,Tetrastes bonasia,Tetrastes bonasia,Ok (IOC World Bird List)
364,Tringa erythropus,Tringa erythropus,Ok (IOC World Bird List)
365,Tringa glareola,Tringa glareola,Ok (IOC World Bird List)
366,Tringa hypoleuca,Tringa hypoleucos,Updated according to BirdLife International
367,Tringa nebularia,Tringa nebularia,Ok (IOC World Bird List)
368,Tringa ochropus,Tringa ochropus,Ok (IOC World Bird List)
369,Tringa stagnatilis,Tringa stagnatilis,Ok (IOC World Bird List)
370,Tringa totanus,Tringa totanus,Ok (IOC World Bird List)
371,Troglodytes troglodytes,Troglodytes troglodytes,Ok (IOC World Bird List)
372,Tudrus torquatus,Turdus torquatus,Updated according to IOC World Bird List
373,Turdus iliacus,Turdus iliacus,Ok (IOC World Bird List)
374,Turdus merula,Turdus merula,Ok (IOC World Bird List)
375,Turdus philomelos,Turdus philomelos,Ok (IOC World Bird List)
376,Turdus pilaris,Turdus pilaris,Ok (IOC World Bird List)
377,Turdus torquatus,Turdus torquatus,Ok (IOC World Bird List)
378,Turdus viscivorus,Turdus viscivorus,Ok (IOC World Bird List)
379,Tyto alba,Tyto alba,Ok (IOC World Bird List)
380,Upupa epops,Upupa epops,Ok (IOC World Bird List)
381,Upupa epos,Upupa epops,Updated according to IOC World Bird List
382,Vanellus gregarius,Vanellus gregarius,Ok (IOC World Bird List)
383,Vanellus vanellus,Vanellus vanellus,Ok (IOC World Bird List)
